Title,Artist,Price,Description,Dimensions,Style,Link,Image Path
Zebra underwater No. 2,Shari Blackwell,$60,"digital art, watermark will be removed upon purchase, Zebra Underwater No. 2",,Modern art,"https://anasaea.com/viewArtPiece/wFJmgvhhAstndrvHt
",downloaded_images/wFJmgvhhAstndrvHt_pic1024.jpeg
Fokker DR I,Constantin Baghici,,The scene of a combat clash with the participation of the famous air ace of the WWI - Baron von Richthofen.,,Classicism,"https://anasaea.com/viewArtPiece/CzpXJcBTZLkZG6pDW
",downloaded_images/CzpXJcBTZLkZG6pDW_pic1024.jpeg
Dreamer,Mistake Ann,,"When I was a child, I liked to run away from home at night and spend time on a swing near my house. I looked at the stars and dreamed…",,Surrealism,"https://anasaea.com/viewArtPiece/Dubg6zfsEy6hijoBa
",downloaded_images/Dubg6zfsEy6hijoBa_pic1024.jpeg
Pedro Pascal,Antonella Torquati,$650,"I portrayed him for my daughter :) // This painting is on sale as art-NFT (on demand ) and/or printable on alu-PVC panel (limited edition, 1/3); the physical artwork will be shipped from Italy; the  indicated price refers to the printable painting (40x40) and may vary depending on the size of the print (e.g. 30x30 or 50x50).","Height 40cm, Width 40cm",Contemporary art,"https://anasaea.com/viewArtPiece/MiuSEBy6KeFLwAaQt
",downloaded_images/MiuSEBy6KeFLwAaQt_pic1024.jpeg
Softly Sunrise,Joseph Liberti,$400,"Sunrise softly tears the sky on Colorado.

Framed Fine Art Print: This limited edition print (1/100) is presented on textured 320 gsm, archival, cold-pressed, bright white cotton rag paper printed with premium eco-solvent archival inks for vivid colors.  

 A  5 cm wide mat with a thin line of black core peeking through  provides a 3D effect to showcase your print. The print is finished with a black 1.25 black wood float frame and optical-quality acrylic glazing and includes a rear dust cover and a gallery style hanging wire. Overall sizes reflect the mat size, so the image  is 5 cm   smaller.  

Free, fast shipping and priority processing  is included. ( not available between 12/14 and 1/7) Your art will arrive in 3-4 business days via Fedex/UPS Ground .Delivery  continental US only.

Satisfaction is guaranteed.  You may return your art in original condition within 7 days for a refund.","Height 71cm, Width 71cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/cozFLQpCp4L22yaTg
",downloaded_images/cozFLQpCp4L22yaTg_pic1024.jpeg
Land,Wart 2.1,$200,Limited to 10 prints on fine paper numbered and signed by the author.,"Height 50cm, Width 50cm",Expressionism,"https://anasaea.com/viewArtPiece/9zwuQDBWWNMoeKwHk
",downloaded_images/9zwuQDBWWNMoeKwHk_pic1024.jpeg
Red Bud,Zoran Kostić,$960,Red Bud by Zoran Kostić,"Height 70cm, Width 50cm",Contemporary art,"https://anasaea.com/viewArtPiece/BLskXw3xGzefoL7MZ
",downloaded_images/BLskXw3xGzefoL7MZ_pic1024.jpeg
Logical thinking with mathematics,Mika Kersten,$351,"The art work is digital AI created, themed by Salvador Dali. It represents confusing mathematics and shapes ","Height 9.14cm, Width 9.14cm",Contemporary art,"https://anasaea.com/viewArtPiece/uAJbpjndHvSmoNWE7
",downloaded_images/uAJbpjndHvSmoNWE7_pic1024.jpeg
Peace by peace,David Higginson,$1000,Peace by peace by David Higginson,,Abstract expressionism,"https://anasaea.com/viewArtPiece/avjK2PYfNXzkJAKfS
",downloaded_images/avjK2PYfNXzkJAKfS_pic1024.jpeg
Peacock Putty Catz,Shari Blackwell,$60,digital art will remove water marks upon purchase,,Modern art,"https://anasaea.com/viewArtPiece/FDg9sg6w3mJx6qeiu
",downloaded_images/FDg9sg6w3mJx6qeiu_pic1024.jpeg
