Title,Artist,Price,Themes,Dimensions,Style,Description,Link,Image
Chaotique Énergie,Christian Debien,766.63,"['Abstract', 'Dark tones', 'Burnt colors', 'Geometric shapes', 'Controlled chaos', 'Raw texture', 'Play of light and shadow']",,Abstract,"### Description en français : 
Cette œuvre d'art abstraite est dominée par des tons sombres et brûlés, avec des éclats de couleurs vives comme l'orange et le bleu. La composition présente une série de lignes et de formes géométriques qui semblent se chevaucher et se mélanger dans un chaos contrôlé. Des traits noirs intenses et des éclaboussures[...]",https://www.artmajeur.com/christian-debien/en/artworks/17927614/chaotique-energie,downloaded_images/17927614_013.jpg
Ripples Vi,Sjaak Tool,911.09,"['sereen', 'weerspiegeling', 'water', 'reflectie']",60x80 cm,Impressionism,"In dit stuk heb ik het vloeiende water vastgelegd, de eindeloze rimpelingen badend in het vervagende licht van de schemering. Elke ronding en werveling is een visuele symfonie die is ontworpen om diepte en emotie op te roepen. Dit kunstwerk, dat de kloof tussen de analoge en de digitale wereld overbrugt, weerspiegelt de voortdurende stroom van het[...]",https://www.artmajeur.com/sjaak-tool/en/artworks/17945602/ripples-vi,downloaded_images/17945602_ripples-vi-art.jpg
Âme Pure,Art'S Line,72.0,[],,Illustration,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/art-s-line/en/artworks/17453419/ame-pure,downloaded_images/17453419_illustration3.jpg
Eternal Woman,Vyctoire Sage,52.0,"['femme', 'magie', 'multidimensionalité', 'mythique', 'couleur', 'personnage', 'sorciére', 'avatar']",,Spiritual Art,"La femme est éternelle même quand elle semble ne plus être là : elle est là.

                
                    About this artwork: Classification, Techniques & Styles
                                                                     Technic[...]",https://www.artmajeur.com/vyctoire-sage/en/artworks/17904424/eternal-woman,downloaded_images/17904424_eternal-woman.jpg
Amsterdam,The Legionnaire,32.0,"['contemporary', 'pop art', 'character', 'face', 'legionnaire', 'soldier', 'army', 'comic', 'hero', 'superhero', 'colorful', 'trendy', 'fancy', 'obey', 'gradient', 'texture']",,Conceptual Art,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/the-legionnaire/en/artworks/17379205/amsterdam,downloaded_images/17379205_15-01.jpg
Notas 1,Cristian Silva,4675.76,[],,Abstract,"Essa obra me veio a mente quando observava  a chuva caindo,então em vez de água, imaginei gotas de cor se misturar com o abstrato.

                
                    About this artwork: Classification, Techniques & Styles",https://www.artmajeur.com/cristian-silva/en/artworks/17560432/notas-1,downloaded_images/17560432_projeto-20240202033143.jpg
Femme À La Plage Au Soleil Avec Des Oise,Zaaland,52.0,"['femme', 'plage', 'soleil', 'oiseaux', 'ciel', 'mer', 'eau', 'coucher de soleil', 'vacances']",,Figurative,"Une femme sur la plage : une symphonie de sérénité 
 
Le sable fin et chaud caresse ses pieds nus tandis qu'elle se promène au bord de l'eau, sa robe blanche longue déployant ses motifs fleuris dans la brise marine. La mer, un miroir d'azur infini, reflète le ciel flamboyant, où un soleil immense s'apprête à disparaître[...]",https://www.artmajeur.com/zaaland/en/artworks/17880412/femme-a-la-plage-au-soleil-avec-des-oiseaux,downloaded_images/17880412_woman-birds-1-upscayl-5x-realesrgan-x4plus-anime.jpg
Green Boho,Littletreasure2024,25.0,"['green boho', 'bohemian leaves and shapes']",,Illustration,"Elevate your space with our Green Bohemian Digital Wall Art. Featuring lush leaves and captivating shapes, this piece adds a touch of nature-inspired beauty to any room. Available as a high-quality digital download file. Transform your space with style and tranquility today.

                [...]",https://www.artmajeur.com/littletreasure2024/en/artworks/17762578/green-boho,downloaded_images/17762578_3green-boho18x24cm.jpg
Rugas,Aníbal Coelho,422.0,[],,Conceptual Art,"A imagem de uma vida gravada na face do Homem. A saga do seu percursos nas rugas do seu rosto.

                
                    About this artwork: Classification, Techniques & Styles
                                                                    [...]",https://www.artmajeur.com/anibal-coelho/en/artworks/17862442/rugas,downloaded_images/17862442_img-8573.jpg
Bodenleben 23,Franziska Kolbe,42.0,"['digitale kunst', 'abstraktion', 'fotografie', 'digitale malerei', 'bodenleben', 'landschaft', 'rot', 'weiß', 'grautöne']",,Abstract,"Digitale Fotografie und digitale Malerei.

                
                    About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts   [...]",https://www.artmajeur.com/franziska-kolbe/en/artworks/17717179/bodenleben-23,downloaded_images/17717179_d-kunst-bodenleben-23.jpg
